category,org,office_or_role,person_name,email,source_url,notes
APEX Accelerator,Empire APEX Accelerator (New York),General Inquiries,,empireapex@nystec.com,https://empireapex.com,shared inbox; NYSTEC-hosted statewide program
APEX Accelerator,Florida APEX Accelerator,General Inquiries,,info@flapex.org,https://www.flapex.org/about/,shared inbox; listed in site contact block
APEX Accelerator,Georgia Tech APEX Accelerator – Albany,Office Contact,,gtpacatl@innovate.gatech.edu,https://www.napex.us/location/georgia-tech-apex-accelerator-albany/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Baker, Brooks, Calhoun, Clay, Colquitt, Cook, Decatur, Dougherty, Early, Grady, Lee, Lowndes, Miller, Mitchell, Schley, Seminole, Sumter, Terrell, Thomas, Tift, Turner, and Worth counties; listed POC: Bridget Bennett (Sub-Recipient/ Sub-Center POC)"
APEX Accelerator,Georgia Tech APEX Accelerator – Atlanta HQ,Office Contact,,gtapex@innovate.gatech.edu,https://www.napex.us/location/georgia-tech-apex-accelerator-atlanta-hq/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves State of Georgia; listed POC: Jennifer White (Procurement Counselor)"
APEX Accelerator,"Golden State APEX Accelerator – Bakersfield, CA",General Inquiries,,info@goldenstateapex.com,https://www.napex.us/location/golden-state-apex-accelerator-bakersfield-ca/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Kern, Santa Barbara, San Luis Obispo, and Ventura counties; listed POC: Mikin Plummer (Angela Watson)"
APEX Accelerator,Guam APEX Accelerator,General Inquiries,,admin@guamapex.com,https://www.napex.us/location/guam-apex-accelerator/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Guam; listed POC: Victoria Villanueva (Procurement Counselor)"
APEX Accelerator,Hawaii APEX Accelerator,General Inquiries,,info@hiptac.org,https://www.napex.us/location/hawaii-apex-accelerator/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Kauai, Maui, Kalawao, Hawaii, Honolulu; listed POC: Joseph Burns (Associate Program Manager)"
APEX Accelerator,Idaho APEX Accelerator,General Inquiries,,idahoapex@techhelp.org,https://www.napex.us/location/idaho-apex-accelerator/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves State of Idaho; listed POC: Beth Myers (Senior Procurement Counselor)"
APEX Accelerator,Illinois APEX Accelerator – Bradley University,General Inquiries,,illinoisapex@bradley.edu,https://www.napex.us/location/illinois-apex-accelerator-bradley-university/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Bureau, Cass, DeWitt, Fulton, Knox, LaSalle, Livingston, Logan, Marshall, Mason, McLean, Menard, Peoria, Putnam, Sangamon, Stark, Tazewell, Woodford; listed POC: Susan Morris (Procurement Counselor)"
APEX Accelerator,Illinois APEX Accelerator – Champaign County EDC,General Inquiries,,info@cusbdc.org,https://www.napex.us/location/illinois-apex-accelerator-champaign-county-edc/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Champaign, Christian, Clark, Coles, Crawford, Cumberland, DeWitt, Douglas, Edgar, Effingham, Fayette, Ford, Iroquois, Jasper, Livingston, Macon, McLean, Moultrie, Piatt, Shelby, Vermillion; listed POC: Keli Krueger-Huhra (Sub-Recipient/ Sub-Center POC)"
APEX Accelerator,Illinois APEX Accelerator – Chinese Mutual Aid Association,Office Contact,,illinoissbdc@chinesemutualaid.org,https://www.napex.us/location/illinois-apex-accelerator-chinese-mutual-aid-association/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Cook, Lake; listed POC: Ian Quan (Sub-Recipient/ Sub-Center POC)"
APEX Accelerator,Illinois APEX Accelerator – College of DuPage,General Inquiries,,IllinoisAPEX@cod.edu,https://www.napex.us/location/illinois-apex-accelerator-college-of-dupage/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Cook, DeKalb, DuPage, Kane, Kendall, Lake, McHenry; listed POC: Ileen Kelly (Senior Procurement Counselor)"
APEX Accelerator,Illinois APEX Accelerator – HQ,General Inquiries,,ceo.apex@illinois.gov,https://www.napex.us/location/illinois-apex-accelerator-hq/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Illinois; listed POC: Rebekah Piatt (Program Assistant)"
APEX Accelerator,Illinois APEX Accelerator – IL Hispanic Chamber of Commerce,General Inquiries,,info@ihccbusiness.net,https://www.napex.us/location/illinois-apex-accelerator-il-hispanic-chamber-of-commerce/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Cook; listed POC: Alejandra Natera (Program Assistant)"
APEX Accelerator,Illinois APEX Accelerator – Joseph Center,Office Contact,,chollingsworth@jbs.edu,https://www.napex.us/location/illinois-apex-accelerator-joseph-center/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Boone, Carroll, Cook, DeKalb, DuPage, Jo Daviess, Kane, Kendall, Lake, McHenry, Ogle, Stephenson, Winnebago; listed POC: Chris Hollingsworth (Sub-Recipient/ Sub-Center POC)"
APEX Accelerator,Illinois APEX Accelerator – Joseph Center Rockford Satellite Office,General Inquiries,,info@r1planning.org,https://www.napex.us/location/illinois-apex-accelerator-joseph-center-rockford-satellite-office/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Boone, DeKalb, McHenry, Ogle, Stephenson, and Winnebago; listed POC: Brittany Allen (Procurement Counselor)"
APEX Accelerator,Illinois APEX Accelerator – Southern Illinois University – Carbondale,General Inquiries,,apexaccelerator@siu.edu,https://www.napex.us/location/illinois-apex-accelerator-southern-illinois-university-carbondale/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Alexander, Clay, Crawford, Edwards, Effingham, Fayette, Franklin, Gallatin, Hamilton, Hardin, Jackson, Jasper, Jefferson, Johnson, Lawrence, Marion, Massac, Perry, Pope, Pulaski, Randolph, Richland, Saline, Union, Wabash, Washington, Wayne, White, Williamson"
APEX Accelerator,Illinois APEX Accelerator – Southland Development Authority,Sub-Recipient/ Sub-Center POC,Chris Cooks,christopher.cooks@southlanddevelopment.org,https://www.napex.us/location/illinois-apex-accelerator-southland-development-authority/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Cook, Grundy, Kankakee, Kendall, LaSalle, Will; name and role taken from the same page contact block"
APEX Accelerator,Illinois APEX Accelerator – Western Illinois University,General Inquiries,,illinoisapex@gmail.com,https://www.napex.us/location/illinois-apex-accelerator-western-illinois-university/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Adams, Bond, Brown, Bureau, Calhoun, Carroll, Christian, Clinton, Fayette, Greene, Hancock, Henderson, Henry, Jersey, Jo Daviess, Knox, LaSalle, Lee, Macoupin, Madison, Marion, McDonough, Mercer, Monroe, Montgomery, Morgan, Pike, Putnam, Randolph, Rock Island, Sangamon, Schuyler, Scott, Shelby, St. Clair, Warren, Washington, Whiteside; listed POC: Theresa Ebeler (Sub-Recipient/ Sub-Center POC)"
APEX Accelerator,Illinois APEX Accelerator – Women’s Business Development Center,Office Contact,,dbeasley@wbdc.org,https://www.napex.us/location/illinois-apex-accelerator-womens-business-development-center/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Cook"
APEX Accelerator,Indiana APEX Accelerator – Central HQ,General Inquiries,,indianaapex@iedc.in.gov,https://www.napex.us/location/indiana-apex-accelerator-central-hq/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Vermillion, Parke, Putnam, Boone, Hendricks, Morgan, Johnson, Marion, Hamilton, Hancock, Shelby, Henry, Rush, Fayette, Wayne, Union; listed POC: Chris Jeffers (Caroline Storms)"
APEX Accelerator,"Inland Empire APEX Accelerator – Norco, CA",Office Contact,,IEAPEXAccelerator@rccd.edu,https://www.napex.us/location/inland-empire-apex-accelerator-norco-ca/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Riverside and San Bernardino counties; listed POC: Suzie Myers (Procurement Counselor)"
APEX Accelerator,Iowa State University CIRAS APEX Accelerator – Ames HQ,General Inquiries,,ciras.apexaccelerator@iastate.edu,https://www.napex.us/location/iowa-state-university-ciras-apex-accelerator-ames-hq/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Adair, Adams, Appanoose, Audubon, Boone, Buena Vista, Calhoun, Carroll, Cass, Cerro Gordo, Cherokee, Clarke, Clay, Crawford, Dallas, Decatur, Dickinson, Emmett, Franklin, Fremont, Greene, Guthrie, Hamilton, Hancock, Hardin, Harrison, Humboldt, Ida, Jasper, Kossuth, Lucas, Lyon, Madison, Marion, Mills, Monona, Monroe, Montgomery, O'Brien, Osceola, Page, Palo Alto, Plymouth, Pocahontas, Pottawattamie, Ringgold, Sac, Shelby, Sioux, Story, Taylor, Union, Warren, Wayne, Webster, Winnebago, Woodbury, Worth, Wright counties; listed POC: Mary Zimmerman (Procurement Counselor)"
APEX Accelerator,Johnstown Area Regional Industries (JARI) APEX Accelerator,Office Contact,,jariapex@jari.com,https://www.napex.us/location/johnstown-area-regional-industries-jari-apex-accelerator/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves The JARI PTAC assists PennsCambria, Fayette, Indiana and Somerset counties; listed POC: Lorie Singer (Sub-Recipient/ Sub-Center POC)"
APEX Accelerator,Kansas APEX Accelerator – HQ,General Inquiries,,KansasAPEX@wichita.edu,https://www.napex.us/location/kansas-apex-accelerator-hq/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Kansas counties; listed POC: Julian Gonzalez-Salamanca (Program Manager/ State Director)"
APEX Accelerator,Kentucky APEX Accelerator – Bowling Green Office & Radcliff/Fort Knox,General Inquiries,,kyapex@kstc.com,https://www.napex.us/location/kentucky-apex-accelerator-bowling-green-office-radcliff-fort-knox/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves State of Kentucky; listed POC: J.C. Watkins (Sub-Recipient/ Sub-Center POC)"
APEX Accelerator,LaGuardia Apex Accelerator,General Inquiries,,APEX@lagcc.cuny.edu,https://www.napex.us/location/laguardia-apex-accelerator/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Queens, NY; listed POC: Richard Mullings (Associate Program Manager)"
APEX Accelerator,Los Angeles County APEX Accelerator – East Los Angeles Entrepreneurial Center,General Inquiries,,Apex@opportunity.lacounty.gov,https://www.napex.us/location/los-angeles-county-apex-accelerator-east-los-angeles-entrepreneurial-center/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves State of California"
APEX Accelerator,Louisiana APEX Accelerator,General Inquiries,,la-apex@louisiana.edu,https://www.napex.us/location/louisiana-apex-accelerator/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves State of Louisiana; listed POC: Busayo Olukunle (Colleen Broussard-Perry)"
APEX Accelerator,Macomb Regional APEX Accelerator,General Inquiries,,apex@macomb.edu,https://www.napex.us/location/macomb-regional-apex-accelerator/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Macomb County; listed POC: Maureen Miller (Senior Procurement Counselor)"
APEX Accelerator,Maine APEX Accelerator – Central,General Inquiries,,maineapex@emdc.org,https://www.napex.us/location/maine-apex-accelerator-central/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Hancock, Penobscot, Piscataquis and Waldo Counties; listed POC: Sam Updike (Sub-Recipient/ Sub-Center POC)"
APEX Accelerator,Maryland APEX Accelerator,General Inquiries,,mdapexadmn@umd.edu,https://marylandapex.org/about/locations,"shared inbox; headquarters, hosted at University of Maryland"
APEX Accelerator,Massachusetts APEX Accelerator,General Inquiries,,contact@maapex.org,https://maapex.org/contact-us/,shared inbox; listed on contact page
APEX Accelerator,Minnesota APEX Accelerator,General Inquiries,,apexaccelerator.adm@state.mn.us,https://mn.gov/admin/business/vendor-info/apexaccelerator/staff/,shared inbox; published as the general-inquiry address on the state staff page
APEX Accelerator,Minnesota APEX Accelerator,Northern Minnesota Area Manager,Arlette Abrahamson,arlette.abrahamson@state.mn.us,https://mn.gov/admin/business/vendor-info/apexaccelerator/staff/,named on state staff page
APEX Accelerator,Minnesota APEX Accelerator,APEX Accelerator Program Director,Christina Nebel-Dickerson,christina.nebel-dickerson@state.mn.us,https://mn.gov/admin/business/vendor-info/apexaccelerator/staff/,named on state staff page
APEX Accelerator,Minnesota APEX Accelerator,Metro/Southern Metro Area Manager,Dallas Apfelbacher,dallas.apfelbacher@state.mn.us,https://mn.gov/admin/business/vendor-info/apexaccelerator/staff/,named on state staff page
APEX Accelerator,Minnesota APEX Accelerator,Metro Area Manager,Gary Crook,gary.crook@state.mn.us,https://mn.gov/admin/business/vendor-info/apexaccelerator/staff/,named on state staff page
APEX Accelerator,Minnesota APEX Accelerator,Twin Cities Metro Area Manager,Mark A. Cooper,mark.cooper@state.mn.us,https://mn.gov/admin/business/vendor-info/apexaccelerator/staff/,named on state staff page
APEX Accelerator,Minnesota APEX Accelerator,Twin Cities Metro Area Manager,Sean Indrelie,sean.indrelie@state.mn.us,https://mn.gov/admin/business/vendor-info/apexaccelerator/staff/,named on state staff page
APEX Accelerator,Minnesota APEX Accelerator,Client Relations Specialist,Tonya Lamont,tonya.lamont@state.mn.us,https://mn.gov/admin/business/vendor-info/apexaccelerator/staff/,named on state staff page
APEX Accelerator,Minnesota APEX Accelerator,Central Minnesota Area Manager,Traci Birkholtz,traci.birkholtz@state.mn.us,https://mn.gov/admin/business/vendor-info/apexaccelerator/staff/,named on state staff page
APEX Accelerator,Minnesota APEX Accelerator,East Central/Northeastern MN Area Manager,Tyler Freeman,tyler.ma.freeman@state.mn.us,https://mn.gov/admin/business/vendor-info/apexaccelerator/staff/,named on state staff page
APEX Accelerator,Mississippi APEX Accelerator – Central Office,General Inquiries,,apexacclerator@mississippi.org,https://www.napex.us/location/mississippi-apex-accelerator-central-office/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Adams, Claiborne, Copiah, Franklin, Hinds, Jefferson, Jefferson-Davis, Lawrence, Lincoln, Madison, Rankin, Simpson, Warren, Yazoo counties; listed POC: Raneisha Clark (Sub-Recipient/ Sub-Center POC)"
APEX Accelerator,Missouri APEX Accelerator – Columbia HQ,General Inquiries,,moapex@missouri.edu,https://www.napex.us/location/missouri-apex-accelerator-columbia-hq/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Adair, Audrain, Benton, Boone, Callaway, Camden, Chariton, Clark, Cole, Cooper, Howard, Knox, Lewis, Linn, Macon, Maries, Marion, Miller, Moniteau, Monroe, Morgan, Osage, Pettis, Phelps, Putnam, Ralls, Randolph, Saline, Schuyler, Scotland, Shelby, Sullivan, Macon, Maries, Marion, Miller, Moniteau, Monroe, Morgan, Osage, Pettis, Phelps, Putnam, Ralls, Randolph, Saline, Schuyler, Scotland, Shelby and Sullivan counties; listed POC: Kris Bockting (Procurement Counselor)"
APEX Accelerator,Monroe County – Upstate New York APEX Accelerator,General Inquiries,,apex@monroecounty.gov,https://www.napex.us/location/monroe-county-upstate-new-york-apex-accelerator/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Cayuga, Erie, Genesee, Livingston, Monroe, Niagara, Onondaga, Ontario, Orleans, Seneca, Wayne, Wyoming, and Yates counties; listed POC: Zacha Tuttle (Procurement Counselor)"
APEX Accelerator,Montana APEX Accelerator,General Inquiries,,apex@bigskyeda.org,https://montanaapex.org,shared inbox; statewide
APEX Accelerator,Montana APEX Accelerator,Government Contracting Specialist,Josy Eades,eades@snowymountaindevelopment.com,https://montanaapex.org,named on staff page; Snowy Mountain Development
APEX Accelerator,Montana APEX Accelerator,Government Contracting Specialist,Jill Duval,jill@dobusinessinmontana.com,https://montanaapex.org,named on staff page; Billings
APEX Accelerator,Montana APEX Accelerator,Government Contracting Specialist,Julie Jaksha,julie@bigskyeda.org,https://montanaapex.org,named on staff page; Big Sky EDA
APEX Accelerator,Montana APEX Accelerator,Government Contracting Specialist,Lillian Sunwall,lsunwall@growgreatfalls.org,https://montanaapex.org,named on staff page; Great Falls
APEX Accelerator,Montana APEX Accelerator,Procurement Counselor,Lynnette Engelhardt,lynnette@bigskyeda.org,https://montanaapex.org,named on staff page; Big Sky EDA
APEX Accelerator,Montana APEX Accelerator,Government Contracting Specialist,Patty Cox,patty.cox@umontana.edu,https://montanaapex.org,named on staff page; Missoula
APEX Accelerator,Montana APEX Accelerator,Government Contracting Specialist,Shannon Clancy,sclancy@growgreatfalls.org,https://montanaapex.org,named on staff page; Great Falls
APEX Accelerator,Montana APEX Accelerator,Statewide Director,Tereza Brownell,tereza@bigskyeda.org,https://montanaapex.org,named on staff page
APEX Accelerator,Montana APEX Accelerator,Government Contracting Specialist,Terri Murphy,terri.murphy@mso.umt.edu,https://montanaapex.org,named on staff page; Missoula
APEX Accelerator,Montana APEX Accelerator,Government Contracting Specialist,Carly Wheatley,wheatley@snowymountaindevelopment.com,https://montanaapex.org,named on staff page; Snowy Mountain Development
APEX Accelerator,"Monterey Bay APEX Accelerator – Salinas, CA",General Inquiries,,apex@mcbc.biz,https://www.napex.us/location/monterey-bay-apex-accelerator-salinas-ca/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Alpine, Fresno, Kings, Madera, Mariposa, Merced, Monterey, San Benito, Santa Cruz, San Joaquin, Stanislaus, Tulare, and Tuolumne counties; listed POC: Victor Valdez (Program Manager/ State Director)"
APEX Accelerator,NBDC APEX Accelerator (Nebraska),"Consultant, APEX Accelerator",Chuck Beck,cwbeck@unomaha.edu,https://www.unomaha.edu/nebraska-business-development-center/about/consultant-directory/index.php,named in NBDC consultant directory; role explicitly APEX Accelerator
APEX Accelerator,NBDC APEX Accelerator (Nebraska),"Consultant, APEX Accelerator",Harold Sargus,hsargus@unomaha.edu,https://www.unomaha.edu/nebraska-business-development-center/about/consultant-directory/index.php,named in NBDC consultant directory; role explicitly APEX Accelerator
APEX Accelerator,NBDC APEX Accelerator (Nebraska),"Consultant, APEX Accelerator",Meghann Buresh,mburesh@unomaha.edu,https://www.unomaha.edu/nebraska-business-development-center/about/consultant-directory/index.php,named in NBDC consultant directory; role explicitly APEX Accelerator
APEX Accelerator,NBDC APEX Accelerator (Nebraska),"Consultant, APEX Accelerator",Quentin Farley,qfarley@unomaha.edu,https://www.unomaha.edu/nebraska-business-development-center/about/consultant-directory/index.php,named in NBDC consultant directory; role explicitly APEX Accelerator
APEX Accelerator,NBDC APEX Accelerator (Nebraska),"Consultant, APEX Accelerator",Terry Morgan,terrymorgan@unomaha.edu,https://www.unomaha.edu/nebraska-business-development-center/about/consultant-directory/index.php,named in NBDC consultant directory; role explicitly APEX Accelerator
APEX Accelerator,NBDC APEX Accelerator (Nebraska),"Director, APEX Accelerator",Veronica Doga,vdoga@unomaha.edu,https://www.unomaha.edu/nebraska-business-development-center/about/consultant-directory/index.php,named in NBDC consultant directory; role explicitly APEX Accelerator
APEX Accelerator,NBDC APEX Accelerator – Kearney,General Inquiries,,nebraskaAPEX@unomaha.edu,https://www.napex.us/location/nbdc-apex-accelerator-kearney/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Adams, Arthur, Banner, Blaine, Box Butte, Brown, Buffalo, Chase, Cherry, Cheyenne, Custer, Dawes, Dawson, Deuel, Dundy, Franklin, Frontier, Furnas, Garden, Gosper, Grant, Hall, Hamilton, Harlan, Hayes, Hitchcock, Hooker, Howard, Kearney, Keith, Keya Paha, Kimball, Lincoln, Logan, Loup, McPherson, Morrill, Perkins, Phelps, Red Willow, Rock, Scotts Bluff, Sheridan, Sherman, Sioux, Thomas counties; listed POC: Charles Beck (Sub-Recipient/ Sub-Center POC)"
APEX Accelerator,NCAIED APEX Accelerator – Arizona / Navajo Nation BIA Region,General Inquiries,,apex@ncaied.org,https://www.napex.us/location/ncaied-apex-accelerator-arizona-navajo-nation-bia-region/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Navajo Nation Region; listed POC: Joan Notah (Procurement Counselor)"
APEX Accelerator,NJIT APEX Accelerator – Camden Office,General Inquiries,,apex-group@NJIT.edu,https://www.napex.us/location/njit-apex-accelerator-camden-office/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves State of New Jersey (except Union County)"
