email	source_url	page_title	context
Zulekha.A.Abu.ctr@Army.mil	https://www.army.mil/osbp	Office of Small Business Programs	**. The meetings will take place in room 201 at the Walter E. Washington Convention Center. PowerPoint Presentations from the seminar will be made available after the event. For any additional questions, please contact Zulekha.A.Abu.ctr@Army.mil. ## Matchmaking Training We’re using the[MatchSynergy](http://matchsynergy.n
MatchSynergyHelpdesk@cybersynergy.net	https://www.army.mil/osbp	Office of Small Business Programs	ww.cybersynergy.net/wp-content/uploads/2026/08/Match-Synergy-FAQs.pdf)Provides answers to frequently asked questions about Matchmaking at AUSA and the MatchSynergy platform.(coming soon) Questions? Please reach out to [MatchSynergyHelpdesk@cybersynergy.net](mailto:MatchSynergyHelpdesk@cybersynergy.net) for assistance * Requirements t
MatchSynergyHelpDesk@CyberSynergy.net	https://www.army.mil/osbp	Office of Small Business Programs	a profile and schedule your matchmaking appointments. The event registration and appointments open on **September 22, 2026, at 12pm EST**. * **Step 3:** For any questions or assistance with the platform, please email _[MatchSynergyHelpDesk@CyberSynergy.net](mailto:MatchSynergyHelpDesk@CyberSynergy.net)_ _. For all other questions, ple
Zulekha.A.Abu.Ctr@Army.mil	https://www.army.mil/osbp	Office of Small Business Programs	m EST**. * **Step 3:** For any questions or assistance with the platform, please email _[MatchSynergyHelpDesk@CyberSynergy.net](mailto:MatchSynergyHelpDesk@CyberSynergy.net)_ _. For all other questions, please email_ _[Zulekha.A.Abu.Ctr@Army.mil](mailto:Zulekha.A.Abu.Ctr@Army.mil)_ _._ **Do I have to be registered in SAM.g
usarmy.redstone.usamc.mbx.small-business@army.mil	https://www.army.mil/osbp	Office of Small Business Programs	naics-2024.pdf "AMC-NAICS-2024.pdf") [PDF - 207.3 KB] **Website:**[http://www.amc.army.mil/Connect/Business-Connections/](http://www.amc.army.mil/Connect/Business-Connections/) **Contact:**Phone: 256-955-7632, Email: [usarmy.redstone.usamc.mbx.small-business@army.mil](mailto:usarmy.redstone.usamc.mbx.small-business@army.mil) * Army Corps of Eng
Small-Business-HQ@usace.army.mil	https://www.army.mil/osbp	Office of Small Business Programs	8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=DmrKgDa%2BdJ%2FsAa0N97EFvK0S5SOBitCA1LiZnR1deEs%3D&reserved=0) **Contact:**Phone: (202) 761-8211, Email: [Small-Business-HQ@usace.army.mil](mailto:Small-Business-HQ@usace.army.mil) * Army Medical Command (MEDCOM) **Ar
usarmy.jbsa.medcom.mesg.medcom-sbpo@army.mil	https://www.army.mil/osbp	Office of Small Business Programs	/781ceb04/medcom-naics-2024.pdf "MEDCOM-NAICS-2024.pdf") [PDF - 201.2 KB] **Website:**[armymedicine.health.mil/Doing-business-with-Army-Medicine](https://www.army.mil/ArmyMedicine) **Contact:** (210) 295-7178, Email: [usarmy.jbsa.medcom.mesg.medcom-sbpo@army.mil](mailto:usarmy.jbsa.medcom.mesg.medcom-sbpo@army.mil) * National Guard Bureau
ng.ncr.ngb-arng.mbx.ngb-osbp@army.mil	https://www.army.mil/osbp	Office of Small Business Programs	s://www.nationalguard.mil/Leadership/Joint-Staff/Special-Staff/Small-Business-Programs/](https://www.nationalguard.mil/Leadership/Joint-Staff/Special-Staff/Small-Business-Programs/) **Contact:** (703) 601-6765, Email: [ng.ncr.ngb-arng.mbx.ngb-osbp@army.mil](mailto:ng.ncr.ngb-arng.mbx.ngb-osbp@army.mil) * Army Transformation and Train
Army.IP.Cell@army.mil	https://www.army.mil/osbp	Office of Small Business Programs	Property (IP) Cell of Experts is the focal point for the Army’s IP policy approach and serves as a resource on IP related questions for organizations doing or seeking to do business with the Army. Contact the Cell at: [Army.IP.Cell@army.mil](mailto:army.IP.Cell@army.mil) * Local Small Business Offices by State The Arm
army.IP.Cell@army.mil	https://www.army.mil/osbp	Office of Small Business Programs	is the focal point for the Army’s IP policy approach and serves as a resource on IP related questions for organizations doing or seeking to do business with the Army. Contact the Cell at: [Army.IP.Cell@army.mil](mailto:army.IP.Cell@army.mil) * Local Small Business Offices by State The Army has contract opportunities f
